rank,show_name,composite_score,genre,country,consumption_score,platform_reach_score,platform_count_score,genre_rank_score,total_consumption,platforms_present,spotify_plays,youtube_views,amazon_plays,apple_plays
128,bhoot dot com,16.215997352549905,Other,BD,9.147380136247572,9.493587704181875,25.0,47.43589743589743,95142184.0,1,0.0,95142184.0,0.0,0.0
129,wow in the world,16.178463683735984,Education,Unknown,0.8970766490248002,15.188088334579458,25.0,76.92307692307693,9330522.0,1,0.0,0.0,9330522.0,0.0
130,rolandmartinunfiltered,16.104001092026962,Other,US,9.079692519250033,9.423338264573827,25.0,46.794871794871796,94438163.0,1,0.0,94438163.0,0.0,0.0
131,cumicam indepth,16.03263094431214,Other,ID,9.06942132590287,9.412678329880448,25.0,46.15384615384615,94331332.0,1,0.0,94331332.0,0.0,0.0
132,relatos de la noche,15.989515273913995,Entertainment,Unknown,0.6835032053399445,11.57215168955344,25.0,83.33333333333334,7109138.0,1,0.0,0.0,7109138.0,0.0
133,all videos,15.941743745059327,Other,US,9.031566905363773,9.373391205476945,25.0,45.51282051282051,93937607.0,1,0.0,93937607.0,0.0,0.0
134,백운기의 정치1번지,15.855498558287593,Other,KR,9.000272988323072,9.340912884732843,25.0,44.871794871794876,93612118.0,1,0.0,93612118.0,0.0,0.0
135,文昭談古論今,15.789296489683139,Other,CA,8.997305782464473,9.33783337686989,25.0,44.230769230769226,93581256.0,1,0.0,93581256.0,0.0,0.0
136,äffchen mit käffchen,15.579221231480739,Comedy,Unknown,0.9288224443473823,15.725565198050381,25.0,69.6969696969697,9660711.0,1,0.0,0.0,9660711.0,0.0
137,la cotorrisa episodios,15.403463002188875,Other,MX,8.633202549374971,8.959949663147968,25.0,42.94871794871795,89794207.0,1,0.0,89794207.0,0.0,0.0
138,the wronged hour,15.32211520797404,Other,IN,8.608830061592279,8.934654732043356,25.0,42.30769230769231,89540708.0,1,0.0,89540708.0,0.0,0.0
139,two hot takes,15.300688458011251,Comedy,US,2.3863243072204066,4.628540612914322,25.0,81.81818181818183,24820233.0,1,24820233.0,0.0,0.0,0.0
140,la corneta extendida,15.26975030733832,Comedy,ES,0.9271651086403457,15.697505431757405,25.0,66.66666666666666,9643473.0,1,0.0,0.0,9643473.0,0.0
141,acharya shri kaushik ji maharaj कथ वचक,15.231859247859102,Other,IN,8.571867764154796,8.896293495575188,25.0,41.66666666666667,89156262.0,1,0.0,89156262.0,0.0,0.0
142,韓國留學生tv,15.043317673666191,Other,KR,8.3959995250317,8.713769042931196,25.0,41.02564102564102,87327051.0,1,0.0,87327051.0,0.0,0.0
143,the young turks,14.96687441503116,Other,US,8.378558561660123,8.6956679786978,25.0,40.38461538461539,87145647.0,1,0.0,87145647.0,0.0,0.0
144,文昭思緒飛揚podcast,14.883989442288534,Other,CA,8.35201359692905,8.66811834732518,25.0,39.743589743589745,86869552.0,1,0.0,86869552.0,0.0,0.0
145,die drei rabauken,14.69795988711177,Comedy,Unknown,0.8580062913301817,14.526601889051575,25.0,63.63636363636363,8924150.0,1,0.0,0.0,8924150.0,0.0
146,聽重點新聞三立新聞台,14.66314555388571,Other,TW,8.130492864142,8.438213557791507,25.0,39.1025641025641,84565508.0,1,0.0,84565508.0,0.0,0.0
147,wissen mit johnny,14.170367973171999,Education,Unknown,0.5782851741458521,9.790742315110752,25.0,69.23076923076923,6014762.0,1,0.0,0.0,6014762.0,0.0
148,kottbruder germanletsplay paluten,13.702716376153399,Comedy,Unknown,0.6798822181373452,11.510846032393323,25.0,60.60606060606061,7071476.0,1,0.0,0.0,7071476.0,0.0
149,mordlust,13.6981386141006,True Crime,Unknown,0.9039723116063103,15.304836365561295,25.0,51.85185185185185,9402244.0,1,0.0,0.0,9402244.0,0.0
150,muttersöhnchen,13.686024068350775,Entertainment,Unknown,0.5196320461678541,8.797706893000907,25.0,66.66666666666666,5404709.0,1,0.0,0.0,5404709.0,0.0
151,matt and shanes secret,13.477699220558119,Other,Unknown,5.288355280503847,10.257351491274559,25.0,37.82051282051282,55004347.0,1,55004347.0,0.0,0.0,0.0
152,greeking out from national geographic kids,13.264359379593774,Education,Unknown,0.5430887593473714,9.194844230369673,25.0,61.53846153846154,5648683.0,1,0.0,0.0,5648683.0,0.0
153,hobbylos,13.109437790165163,Comedy,Unknown,0.6051939489659975,10.246325290532038,25.0,57.57575757575758,6294641.0,1,0.0,0.0,6294641.0,0.0
154,mord auf ex,13.096313513212255,True Crime,Unknown,0.8444131196009823,14.296460692984747,25.0,48.148148148148145,8782767.0,1,0.0,0.0,8782767.0,0.0
155,kurt krömer feelings,12.755564765259109,Comedy,Unknown,0.5921108228294323,10.024819496494693,25.0,54.54545454545454,6158563.0,1,0.0,0.0,6158563.0,0.0
156,morning wire,12.583469639343777,Other,Unknown,1.7288070835624163,18.53122792371028,25.0,30.128205128205128,17981376.0,1,0.0,0.0,0.0,17981376.0
157,snapped women who murder,12.533410492792191,True Crime,Unknown,0.7948695693527673,13.457656318356817,25.0,44.44444444444444,8267463.0,1,0.0,0.0,8267463.0,0.0
158,歴史を面白く学ぶコテンラジオ coten radio,12.492464260139634,Education,Unknown,0.5424031542350106,9.183236492033716,25.0,53.84615384615385,5641552.0,1,0.0,0.0,5641552.0,0.0
159,la cotorrisa,12.397292629494835,Comedy,Unknown,0.5778956935245965,9.784148156086918,25.0,51.515151515151516,6010711.0,1,0.0,0.0,6010711.0,0.0
160,la zanzara,12.288331974811797,News & Politics,Unknown,0.5030708994255315,8.517315958828487,25.0,53.333333333333336,5232456.0,1,0.0,0.0,5232456.0,0.0
161,kaulitz hills senf aus hollywood,12.063003008404205,Comedy,Unknown,0.5698518755298465,9.64796111077217,25.0,48.484848484848484,5927047.0,1,0.0,0.0,5927047.0,0.0
162,good hang,11.767090441923953,Other,Unknown,3.5784069043863322,6.940716999935992,25.0,35.8974358974359,37219121.0,1,37219121.0,0.0,0.0,0.0
163,大久保佳代子とらぶぶらlove,11.756072389572225,Comedy,Unknown,0.5688482250224933,9.630968658032154,25.0,45.45454545454545,5916608.0,1,0.0,0.0,5916608.0,0.0
164,checkpod der mit checker tobi,11.662521352240187,Education,Unknown,0.5267803760099566,8.918732744252956,25.0,46.15384615384615,5479059.0,1,0.0,0.0,5479059.0,0.0
165,joel osteen,11.585410186043601,Society & Culture,Unknown,0.4079663849015213,6.907134967964206,25.0,50.0,4243271.0,1,0.0,0.0,4243271.0,0.0
166,lanz precht,11.392073866726015,News & Politics,Unknown,0.44399117912057434,7.517058052495301,25.0,46.666666666666664,4617966.0,1,0.0,0.0,4617966.0,0.0
167,watch what crappens,11.306977928301508,Entertainment,Unknown,0.33631867970134377,5.694092942254179,25.0,50.0,3498061.0,1,0.0,0.0,3498061.0,0.0
